APP_ID,Name,Publisher,Developer,Rank,Owners,TotalPlayer,TotalPlayersOf2weeks,AvgPlayTimeIn2weeks,Median.TotalPlayTime,YesterdayCCU
4000,Garry's Mod,Valve,Facepunch Studios,93,11426386,10570915,1228775,475,967,48860
222880,Insurgency,New World Interactive,New World Interactive,81,2639894,2123708,260814,182,268,10093
238960,Path of Exile,Grinding Gear Games,Grinding Gear Games,87,5052690,3278851,134867,733,242,6596
242760,The Forest,Endnight Games Ltd,Endnight Games Ltd,78,1905985,1859568,168584,305,475,4224
105600,Terraria,Re-Logic,Re-Logic,96,7383236,6993602,654228,485,1361,25803
372000,Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",17,1127927,924416,462359,1217,396,26896
255710,Cities: Skylines,Paradox Interactive,Colossal Order Ltd.,87,2237408,2164834,221050,422,806,7278
466910,Worm.is: The Game,Freakinware Studios,Freakinware Studios,35,545366,484585,338076,106,38,2930
49520,Borderlands 2,"2K Games, Aspyr (Mac & Linux)","Gearbox Software, Aspyr (Mac & Linux)",96,6237770,5615898,276841,416,1451,8706
292030,The Witcher 3: Wild Hunt,CD PROJEKT RED,CD PROJEKT RED,93,1637762,1432286,384493,586,1913,25371
363970,Clicker Heroes,Playsaurus,Playsaurus,78,3771299,2787613,261419,1125,450,15176
281990,Stellaris,Paradox Interactive,Paradox Development Studio,69,412918,405056,335354,1282,1421,22492
295110,H1Z1,Daybreak Game Company,Daybreak Game Company,25,2495652,2452410,128668,460,1019,6399
10500,Empire: Total War,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)","The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)",84,3422639,2985227,122167,542,1308,5250
311210,Call of Duty: Black Ops III,Activision,Treyarch,16,1075613,1048247,319327,468,1329,13861
359550,Tom Clancy's Rainbow Six Siege,Ubisoft,Ubisoft Montreal,39,530700,520419,203057,657,1798,8733
239140,Dying Light,Techland,Techland,84,1399023,1335974,104477,310,1383,2930
428690,Youtubers Life,U-Play online,U-Play online,60,106745,104175,104023,406,313,6986
